実施 する 	 じっし する
逮捕 する 	 たいほ する
合し て 	 あし て
造る 	 つくる
失脚 し 	 しっきゃく し
宣言 さ れ た 	 せんげん さ れ た
怒っ た 	 おこっ た
気づい た 	 きづい た
決意 する 	 けつい する
吸わ ない 	 すわ ない
オススメ でき ない 	 おすすめ でき ない
大活躍 する 	 だいかつやく する
両立 さ せる 	 りょうりつ さ せる
伝送 し て 	 でんそう し て
いえる でしょ う 	 いえる でしょ う
立証 する 	 りっしょう する
申請 	 しんせい
投降 し て 	 とうこう し て
覆っ て 	 おおっ て
辞任 し まし た 	 じにん し まし た
つくら れ た 	 つくら れ た
言う なら 	 いう なら
容認 する 	 ようにん する
誘う 	 さそう
組み合わせ た 	 くみあわせ た
出品 	 しゅっぴん
納得 でき まい 	 なっとく でき まい
漁る 	 りょうる
悪化 する 	 あっか する
退任 し 	 たいにん し
就任 する 	 しゅうにん する
スポーツ 	 すぽーつ
払っ て 	 はらっ て
伺 え ます 	 うかが え ます
提供 できる 	 ていきょう できる
利用 できる 	 りよう できる
取り次い 	 とりつぐい
越す 	 こす
雇わ れ 	 やとわ れ
視認 する 	 しにん する
満足 出来 なけれ 	 まんぞく でき なけれ
製作 する 	 せいさく する
もっ た 	 もっ た
分離 する 	 ぶんり する
結成 し た 	 けっせい し た
通う 	 かよう
見誤っ た 	 みあやまっ た
追いやる 	 おいやる
払う 	 はらう
もつ 	 もつ
落ち込ん 	 おちこん
い られ ない 	 い られ ない
リーク さ れ た 	 りーく さ れ た
明かし て 	 あかし て
変る 	 へんる
枯れ ない 	 かれ ない
引っ越す 	 ひっこす
経験 し て 	 けいけん し て
体験 し た 	 たいけん し た
あり すぎ て 	 あり すぎ て
吹き にくい 	 ふき にくい
対応 し たい 	 たいおう し たい
下賜 さ れ た 	 かし さ れ た
負っ た 	 おっ た
復調 し 	 ふくちょう し
移転 し 	 いてん し
編成 さ れる 	 へんせい さ れる
運用 できる 	 うんよう できる
開発 さ れ て 	 かいはつ さ れ て
則っ て 	 のっとっ て
紹介 さ れ た 	 しょうかい さ れ た
抗議 し た 	 こうぎ し た
関わっ て 	 かかわっ て
負け ず 	 まけ ず
立候補 し た 	 りっこうほ し た
映っ て 	 うつっ て
上り 	 のぼり
プレイ し て 	 ぷれい し て
いため 	 いため
付け られ た 	 つけ られ た
なる ように 	 なる ように
反転 さ せる 	 はんてん さ せる
就任 	 しゅうにん
耐震 	 たいしん
化 さ せる 	 か さ せる
移そ う 	 うつ そう
放送 し た 	 ほうそう し た
タッチ 	 たっち
指名 	 しめい
とどまっ た 	 とどまっ た
見つけ まし た 	 みつけ まし た
計測 さ れ た 	 けいそく さ れ た
通過 し て 	 つうか し て
過ごす ような 	 すごす ような
絡む 	 からむ
判断 する 	 はんだん する
言え よう 	 いえ よう
貸切っ て 	 かしきりっ て
上昇 する 	 じょうしょう する
出さ れ 	 ださ れ
巻き込ま れ た 	 まきこま れ た
悩み 	 なやみ
痛ん 	 いたん
起用 さ れ 	 きよう さ れ
記録 	 きろく
勤務 し はじめ て 	 きんむ し はじめ て
履い た 	 はい た
採ら なく なっ た 	 とら なく なっ た
膨れ上がっ た 	 ふくれあがっ た
展開 さ れ た 	 てんかい さ れ た
触れ た 	 ふれ た
確認 でき ず 	 かくにん でき ず
弁じ 	 べんじ
報じ られ 	 ほうじ られ
指摘 し た 	 してき し た
催さ れ 	 もよおさ れ
出 回ら ない ような 	 で まわら ない ような
出 回る 	 で まわる
現れ て 	 あらわれ て
可決 	 かけつ
滅亡 し ませ ん 	 めつぼう し ませ ん
集め られ て 	 あつめ られ て
振ら ない ように 	 ふら ない ように
公表 さ れ た 	 こうひょう さ れ た
し た よう です 	 し た よう です
援護 し た 	 えんご し た
使い ませ ん 	 つかい ませ ん
周知 さ せ 	 しゅうち さ せ
守ら せる よう 	 まもら せる よう
徹底 し なければ なら ない 	 てってい し なければ なら ない
逃げ て 	 にげ て
前進 し て 	 ぜんしん し て
拒ん だ 	 こばん だ
殴っ た 	 なぐっ た
付きまとっ て 	 つきまとっ て
加盟 し 	 かめい し
否定 さ れる 	 ひてい さ れる
すく 	 すく
落と せ ず 	 おと せ ず
駐屯 し た 	 ちゅうとん し た
行 える 	 おこな える
寄生 する 	 きせい する
起こす 	 おこす
ノミネート さ れ 	 のみねーと さ れ
眠り 	 ねむり
義務付け て 	 ぎむづけ て
移住 さ せ られ 	 いじゅう さ せ られ
従事 する 	 じゅうじ する
広まる 	 ひろまる
囁か れ 始める 	 ささやか れ はじめる
観察 さ れ た 	 かんさつ さ れ た
休ま せ 	 やすま せ
退避 	 たいひ
収録 さ れ た 	 しゅうろく さ れ た
初登場 する 	 はつとうじょう する
味わっ て 	 あじわっ て
協議 し 	 きょうぎ し
確認 	 かくにん
制定 さ れ 	 せいてい さ れ
設け られ た 	 もうけ られ た
独占 し て 	 どくせん し て
振り返り 	 ふりかえり
比較 し た 	 ひかく し た
航行 し 	 こうこう し
読み上げ られる 	 よみあげ られる
メモ する 	 めも する
完成 さ せる 	 かんせい さ せる
浮上 し 	 ふじょう し
とれ ず 	 とれ ず
忘れ去ら れる 	 わすれさら れる
登場 し た 	 とうじょう し た
触発 さ れ 	 しょくはつ さ れ
縫い合わせ た 	 ぬいあわせ た
持参 し た 	 じさん し た
感謝 し て 	 かんしゃ し て
換金 する 	 かんきん する
際立っ て 	 きわだっ て
きい て 	 きい て
廃止 し 	 はいし し
追求 し た 	 ついきゅう し た
付き合っ て 	 つきあっ て
仕入れ た 	 しいれ た
小分け し て 	 こわけ し て
悪びれ た 	 わるびれ た
緊張 さ れる かもしれ ませ ん 	 きんちょう さ れる かもしれ ませ ん
所属 し 	 しょぞく し
活躍 	 かつやく
強め た 	 つよめ た
できる ように なり ます 	 できる ように なり ます
言わ ず 	 いわ ず
知れ た 	 しれ た
依存 する 	 いぞん する
惑わす 	 まどわす
かき回す 	 かきまわす
疑っ た 	 うたがっ た
支給 し た 	 しきゅう し た
燃え盛る 	 もえさかる
聞き たい 	 きき たい
大破 	 たいは
生産 する 	 せいさん する
値する ような 	 ちする ような
作ら れ て 	 つくら れ て
加入 し なければ なら ない 	 かにゅう し なければ なら ない
明け て 	 あけ て
みなさ ん 	 みなさ ん
済ませ た ようで 	 すませ た ようで
飾ら れ て 	 かざら れ て
呼ば ず 	 よば ず
総称 し た 	 そうしょう し た
乱さ ず 	 らんさ ず
なじ める 	 なじ める
収集 し た 	 しゅうしゅう し た
飲み 始め て 	 のみ はじめ て
感じ られ て 	 かんじ られ て
応募 し 	 おうぼ し
決定 し まし た 	 けってい し まし た
余し て 	 あまし て
運ば れ て 	 はこば れ て
びっくり し まし た 	 びっくり し まし た
追い詰め られ 	 おいつめ られ
負う 	 おう
救わ れる 	 すくわ れる
吸い上げ た 	 すいあげ た
至ら ず 	 いたら ず
見 ない 	 み ない
余っ て 	 あまっ て
書い た ように 	 かい た ように
接触 し て 	 せっしょく し て
試み 	 こころみ
同意 し た 	 どうい し た
要望 する 	 ようぼう する
放送 し て 	 ほうそう し て
融合 する 	 ゆうごう する
な れる 	 な れる
用意 でき ない 	 ようい でき ない
組ま れ 	 くま れ
販売 し 	 はんばい し
貢献 する 	 こうけん する
求め られ て 	 もとめ られ て
かい て 	 かい て
遊ん 	 あそん
怒る 	 おこる
表示 し 	 ひょうじ し
踏ま せ ない 	 ふま せ ない
守り きり 	 まもり きり
完封 	 かんぷう
避け よう 	 さけ よう
とらえる 	 とらえる
要求 し た 	 ようきゅう し た
認め ず 	 みとめ ず
緊張 し なく て 	 きんちょう し なく て
助かっ た 	 たすかっ た
謝罪 する 	 しゃざい する
吸引 し た 	 きゅういん し た
模索 し て 	 もさく し て
見 出し て 	 み いだし て
製作 し 	 せいさく し
担当 し た 	 たんとう し た
褒め 	 ほめ
返し 	 がえし
沸か せ た 	 わか せ た
根付い て 	 ねづい て
引き抜く 	 ひきぬく
適合 する 	 てきごう する
やめ て 	 やめ て
発達 し て 	 はったつ し て
諦め て 	 あきらめ て
通わ なく なり まし た 	 かよわ なく なり まし た
楽になっ て 	 らくになっ て
採択 さ れ た 	 さいたく さ れ た
盛り込ま れ た 	 もりこま れ た
義務付け られる 	 ぎむづけ られる
プロデュース する 	 ぷろでゅーす する
わたし 	 わたし
ブレイク し 	 ぶれいく し
先制 し て 	 せんせい し て
保っ た 	 たもっ た
進出 	 しんしゅつ
願い できる 	 ねがい できる
従え た 	 したがえ た
問い 	 とい
ただす 	 ただす
変え ない 	 かえ ない
なら ない 	 なら ない
噴出 	 ふんしゅつ
任じ られ 	 にんじ られ
封じ られ た 	 ふうじ られ た
はじき 	 はじき
返し た 	 かえし た
頒布 する 	 はんぷ する
のぼり ます 	 のぼり ます
沿っ た 	 そっ た
維持 でき なく なり 	 いじ でき なく なり
圧倒 し た 	 あっとう し た
奏功 し て 	 そうこう し て
限ら ず 	 かぎら ず
密集 し て 	 みっしゅう し て
生息 し て 	 せいそく し て
共存 する 	 きょうぞん する
写っ て 	 うつっ て
放送 する 	 ほうそう する
利用 さ れる 	 りよう さ れる
切り上げ て 	 きりあげ て
留守番 し て 	 るすばん し て
同居 する ように なる 	 どうきょ する ように なる
編集 さ れ た 	 へんしゅう さ れ た
疲れ 	 つかれ
体現 し て 	 たいげん し て
持ち上げる 	 もちあげる
廃止 し て 	 はいし し て
議決 する 	 ぎけつ する
知ら れ た 	 しら れ た
用い 	 もちい
脚色 し た 	 きゃくしょく し た
掲げ た 	 かかげ た
残し 	 のこし
攻撃 	 こうげき
見渡す 	 みわたす
満足 できる 	 まんぞく できる
落ち着き まし た 	 おちつき まし た
見いだし 	 みいだし
信頼 し た 	 しんらい し た
注意 し たく なる 	 ちゅうい し たく なる
続落 し 	 ぞくらく し
反落 し た 	 はんらく し た
指摘 する 	 してき する
嘲笑 する 	 ちょうしょう する
描き 	 えがき
進化 し た 	 しんか し た
作ら れ た 	 つくら れ た
かかり ませ ん 	 かかり ませ ん
一致 し た 	 いっち し た
選び 	 えらび
紹介 し ます 	 しょうかい し ます
会っ た 	 あっ た
修める 	 おさめる
倒そ う 	 たお そう
向かっ て 	 むかっ て
上回っ た 	 うわまわっ た
満た ない 	 みた ない
捻出 する 	 ねんしゅつ する
温め 続け 	 あたため つづけ
取り上げ られる 	 とりあげ られる
つけ られ た 	 つけ られ た
羽織り 	 はねおり
発揮 し た 	 はっき し た
教わっ た 	 おそわっ た
確認 できる 	 かくにん できる
探す 	 さがす
話せる 	 はなせる
報せ た 	 しらせ た
行う よう 	 おこなう よう
記念 し て 	 きねん し て
建立 さ れ た 	 こんりゅう さ れ た
頼る 	 たよる
確認 さ れ 	 かくにん さ れ
ストップ 	 すとっぷ
取り やすく 	 とり やすく
提供 し て 	 ていきょう し て
食べ させる ように 	 たべ させる ように
そそのかし た 	 そそのかし た
形成 し 	 けいせい し
形成 さ れる 	 けいせい さ れる
学ん だ 	 まなん だ
遅れ て 	 おくれ て
あて なかっ た 	 あて なかっ た
オススメ する 	 おすすめ する
おもっ て 	 おもっ て
なる よう です 	 なる よう です
削除 さ れ て 	 さくじょ さ れ て
返上 し た 	 へんじょう し た
普及 さ せ た 	 ふきゅう さ せ た
作ら れ 	 つくら れ
普及 さ れ た 	 ふきゅう さ れ た
開業 し た 	 かいぎょう し た
展開 し よう 	 てんかい し よう
応援 し て 	 おうえん し て
赴い て 	 おもむい て
学ん 	 まなん
争う 	 あらそう
崩壊 	 ほうかい
出店 し て 	 しゅってん し て
欠落 し た 	 けつらく し た
凍結 さ れる 	 とうけつ さ れる
すまし て 	 すまし て
上陸 さ せる 	 じょうりく さ せる
発見 さ れる 	 はっけん さ れる
出来 た 	 でき た
保護 し ます 	 ほご し ます
生かす べく 	 いかす べく
保存 さ れる 	 ほぞん さ れる
告げ 	 つげ
懺悔 する 	 ざんげ する
告知 し 	 こくち し
装い 	 よそおい
授かっ た 	 さずかっ た
流す 	 ながす
いただき ます よう 	 いただき ます よう
泣か ない 	 なか ない
い たら 	 い たら
垣間見 て 	 かいまみ て
なる だろ う 	 なる だろ う
拉致 し て 	 らち し て
交代 し て 	 こうたい し て
編成 できる 	 へんせい できる
導入 さ れ て 	 どうにゅう さ れ て
挙げる なら 	 あげる なら
泊まっ た 	 とまっ た
喜ば れ ます 	 よろこば れ ます
すい て 	 すい て
切開 し た 	 せっかい し た
即死 し ない 	 そくし し ない
経験 し た 	 けいけん し た
呑む 	 のむ
おか れ て 	 おか れ て
立っ た 	 たっ た
作ら れる 	 つくら れる
投入 し 	 とうにゅう し
研究 し て 	 けんきゅう し て
担っ て 	 になっ て
回り込ん 	 まわりこん
預け ます 	 あずけ ます
始動 し 	 しどう し
支持 さ れ た 	 しじ さ れ た
評 さ れ た 	 ひょう さ れ た
勝ち進み 	 かちすすみ
譲ら ぬ 	 ゆずら ぬ
変え 	 かえ
突い て 	 つい て
操っ 	 あやつっ
集め よう 	 あつめ よう
行け ます 	 いけ ます
かぶり 	 かぶり
待た ず 	 また ず
自衛 する 	 じえい する
処刑 さ れる 	 しょけい さ れる
受け取り 	 うけとり
暮らす ように なっ た 	 くらす ように なっ た
離婚 し て 	 りこん し て
変わり ませ ん でした 	 かわり ませ ん でした
救う 	 すくう
蘇ら せる 	 よみがえら せる
発売 し た 	 はつばい し た
こめ て 	 こめ て
廻り 	 めぐり
凝り すぎ た 	 こり すぎ た
し ない よう 	 し ない よう
注意 する 	 ちゅうい する
併合 し た 	 へいごう し た
逼迫 し た 	 ひっぱく し た
存在 し た 	 そんざい し た
一喜一憂 し 	 いっき かずゆうし
置き換え られ た 	 おきかえ られ た
貫か れ た 	 つらぬか れ た
もらっ て 	 もらっ て
辞任 	 じにん
退部 し 	 たいぶ し
報告 する 	 ほうこく する
捜査 し て 	 そうさ し て
見送る 	 みおくる
操作 でき ます 	 そうさ でき ます
とりつけ 	 とりつけ
付加 し た 	 ふか し た
実現 さ せ て 	 じつげん さ せ て
拠る 	 よる
合わせ ざるを得 ない 	 あわせ ざるをえ ない
カット する 	 かっと する
高騰 し 	 こうとう し
分乗 し た 	 ぶんじょう し た
飛来 し て 	 ひらい し て
急襲 し 	 きゅうしゅう し
明け渡し た 	 あけわたし た
あり まし たら 	 あり まし たら
冷え込ん 	 ひえこん
超える かもしれ ない 	 こえる かもしれ ない
替わる よう 	 かわる よう
云う 	 いう
分から ない 	 わから ない
聞こえ て 	 きこえ て
知る 	 しる
提案 さ れ た 	 ていあん さ れ た
越える 	 こえる
記録 し 	 きろく し
取り上げ られ た 	 とりあげ られ た
モメ て 	 もめ て
アピール する 	 あぴーる する
搾取 し た 	 さくしゅ し た
移す 	 うつす
接収 さ れ て 	 せっしゅう さ れ て
引き継が れる 	 ひきつが れる
唆し 	 そそのかし
監禁 さ れ まし た 	 かんきん さ れ まし た
実施 し た 	 じっし し た
かき 	 かき
たべ たら 	 たべ たら
かき がたく 	 かき がたく
平行 し て 	 へいこう し て
偽り 	 いつわり
持ち掛け て 	 もちかけ て
詐取 し た 	 さしゅ し た
持た れ て 	 もた れ て
支える 	 ささえる
連続 し て 	 れんぞく し て
速報 	 そくほう
発車 する 	 はっしゃ する
交錯 する 	 こうさく する
リポート する 	 りぽーと する
注文 し まし た 	 ちゅうもん し まし た
停車 し て 	 ていしゃ し て
発覚 	 はっかく
直面 し がちな 	 ちょくめん し がちな
乗り越える 	 のりこえる
吻合 さ れる 	 ふんごう さ れる
生成 し 始める 	 せいせい し はじめる
出 なく なる 	 で なく なる
疲れ 切っ た 	 つかれ きっ た
通い 始め た 	 かよい はじめ た
修正 し た 	 しゅうせい し た
もつれ 込み 	 も つれこみ
吹く 	 ふく
はね返し 	 はねかえし
積み重ね た 	 つみかさね た
率い て 	 ひきい て
終え た そうだ 	 おえ た そうだ
疑問視 する 	 ぎもんし する
上がり 	 あがり
主導 し た 	 しゅどう し た
表明 	 ひょうめい
修正 し て 	 しゅうせい し て
足りる 	 たりる
喜ん だ 	 よろこん だ
得 られ ず 	 え られ ず
絶え なく なっ た 	 たえ なく なっ た
中絶 し 	 ちゅうぜつ し
離婚 	 りこん
邁進 する 	 まいしん する
抜け て 	 ぬけ て
目指し まし た 	 めざし まし た
奪わ れる 	 うばわ れる
奪回 	 だっかい
おもい ます 	 おもい ます
戦っ て 	 せんっ て
目論む 	 もくろむ
倒 せ ず 	 たお せ ず
記録 さ れ 	 きろく さ れ
留まる 	 とまる
設置 する 	 せっち する
注意 	 ちゅうい
処方 する 	 しょほう する
のん 	 のん
治ら なかっ たら 	 なおら なかっ たら
来る ように 	 くる ように
執行 さ れ た 	 しっこう さ れ た
親しみ 	 したしみ
充当 す べく 	 じゅうとう す べく
移行 し 	 いこう し
逃げ 	 にげ
誤魔化し 	 ごまかし
評価 し たい 	 ひょうか し たい
擁立 	 ようりつ
知り ませ ん 	 しり ませ ん
休業 	 きゅうぎょう
指摘 し て 	 してき し て
供給 する 	 きょうきゅう する
向っ て 	 むかっ て
とれる 	 とれる
投げ かける 	 なげ かける
被災 し た 	 ひさい し た
貼ら れ て 	 はら れ て
至ら なかっ た 	 いたら なかっ た
接客 し て 	 せっきゃく し て
見 られ たく ない 	 み られ たく ない
指定 し た 	 してい し た
使え 	 つかえ
閲覧 できる 	 えつらん できる
対応 できる 	 たいおう できる
定着 	 ていちゃく
集中 し た 	 しゅうちゅう し た
上り まし た 	 のぼり まし た
分け さ れ た 	 わけ さ れ た
建て た 	 たて た
もてなす 	 もてなす
創建 さ れ た 	 そうけん さ れ た
隣接 し て 	 りんせつ し て
し たく なかっ た 	 し たく なかっ た
解除 さ れ 	 かいじょ さ れ
辞任 し た 	 じにん し た
分析 し 	 ぶんせき し
発信 し 	 はっしん し
かく 	 かく
pr し て 	 ＰＲ し て
作成 し 	 さくせい し
制作 し 	 せいさく し
確保 できる よう 	 かくほ できる よう
含まれ た 	 ふくまれ た
外し た 	 はずし た
脅かす ように なっ た 	 おびやかす ように なっ た
仕上がり 	 しあがり
満足 出来 	 まんぞく でき
通お う 	 とおお う
所在 し て 	 しょざい し て
閉店 し た 	 へいてん し た
匿う 	 かくまう
損なっ た 	 そこなっ た
踊っ て 	 おどっ て
リフレッシュ でき た 	 りふれっしゅ でき た
密接 し て 	 みっせつ し て
設置 し て 	 せっち し て
一見 	 いっけん
産卵 する 	 さんらん する
東進 し 	 とうしん し
到達 し 	 とうたつ し
目指し た 	 めざし た
失敗 し た 	 しっぱい し た
撤退 し た 	 てったい し た
用意 さ れ た 	 ようい さ れ た
契約 し た 	 けいやく し た
恵まれ なかっ た 	 めぐまれ なかっ た
譲り受け 	 ゆずりうけ
相続 さ せ た 	 そうぞく さ せ た
購入 し たい 	 こうにゅう し たい
答え た 	 こたえ た
ひっぱっ 	 ひっぱっ
加熱 し た 	 かねつ し た
吹きつけ 	 ふきつけ
冷やす 	 ひやす
生成 する 	 せいせい する
集め た 	 あつめ た
勝ち き れ ない 	 かち き れ ない
通 える 	 かよ える
誇示 する 	 こじ する
貰 える 	 もら える
唱える 	 となえる
語 れる 	 かた れる
公開 さ れる べき 	 こうかい さ れる べき
受け持っ て 	 うけもっ て
転送 でき 	 てんそう でき
アップ し た 	 あっぷ し た
まとめ られる 	 まとめ られる
先発 し た 	 せんぱつ し た
渡さ れる 	 わたさ れる
獲得 し 	 かくとく し
結ば れる 	 むすば れる
開校 し た 	 かいこう し た
輩出 し た 	 はいしゅつ し た
連載 さ れ て 	 れんさい さ れ て
取り掛かっ た 	 とりかかっ た
避け たい 	 さけ たい
示し 	 しめし
引い た 	 ひい た
死去 	 しきょ
立地 する 	 りっち する
除い て 	 のぞい て
浮い た 	 うい た
流れ て 	 ながれ て
共通 し た 	 きょうつう し た
取り入れ られ た 	 とりいれ られ た
実施 さ れる だろ う 	 じっし さ れる だろ う
述べ 	 のべ
決定 する 	 けってい する
登録 し た 	 とうろく し た
限定 できる 	 げんてい できる
破る 	 やぶる
負け越し た 	 まけこし た
含み ます 	 ふくみ ます
優遇 さ れる 	 ゆうぐう さ れる
頼ろ う 	 たよろ う
入院 し た 	 にゅういん し た
診断 さ れ 	 しんだん さ れ
自刃 し た 	 じじん し た
叙任 する 	 じょにん する
する ように なっ た 	 する ように なっ た
書き込ま れ て 	 かきこま れ て
もたらし て 	 もたらし て
つ ける ような 	 つ ける ような
配布 さ れ た 	 はいふ さ れ た
支払う 	 しはらう
支払わ れ た 	 しはらわ れ た
返っ た 	 かえっ た
多用 さ れる 	 たよう さ れる
もらさ ず 	 もらさ ず
利用 す べき です 	 りよう す べき です
抱か れ て 	 だか れ て
立ち会い 	 たちあい
見送っ た 	 みおくっ た
追っ た 	 おっ た
侵攻 	 しんこう
開け 	 ひらけ
閉じる 	 とじる
抑える 	 おさえる
与え られ 	 あたえ られ
放送 さ れ て 	 ほうそう さ れ て
化 し 	 か し
切断 する 	 せつだん する
結合 し なければ なら ない 	 けつごう し なければ なら ない
満載 し た 	 まんさい し た
使用 さ れ 	 しよう さ れ
死亡 	 しぼう
取り上げ て 	 とりあげ て
おら れ まし た 	 おら れ まし た
活用 さ れ て 	 かつよう さ れ て
生まれ て 	 うまれ て
他界 	 たかい
改め て 	 あらため て
行列 し て 	 ぎょうれつ し て
ままなら ず 	 ままなら ず
耐え き れ ず 	 たえ き れ ず
相談 さ れ て 	 そうだん さ れ て
巡り合 え て 	 めぐりあ え て
入居 出来 たら 	 にゅうきょ でき たら
招待 し て 	 しょうたい し て
さ れ まし た 	 さ れ まし た
防い だ 	 ふせい だ
噴射 し 	 ふんしゃ し
凍結乾燥 する 	 とうけつかんそう する
定住 し 	 ていじゅう し
回し て 	 かいし て
リラックス できる 	 りらっくす できる
定まっ て 	 さだまっ て
食べ れ て 	 たべ れ て
在籍 し て 	 ざいせき し て
表明 し て 	 ひょうめい し て
活動 し 	 かつどう し
所属 	 しょぞく
語り まし た 	 かたり まし た
いき たい 	 いき たい
生き たい 	 いき たい
押収 し 	 おうしゅう し
打ち出し た 	 うちだし た
限っ て 	 かぎっ て
強化 し た 	 きょうか し た
進む ように なっ た 	 すすむ ように なっ た
存在 する よう です 	 そんざい する よう です
継承 し た 	 けいしょう し た
利用 し まし た 	 りよう し まし た
表れ た 	 あらわれ た
引き取る 	 ひきとる
思い 	 おもい
のこす 	 のこす
含ま せ た 	 ふくま せ た
仕上がる 	 しあがる
信頼 し て 	 しんらい し て
成熟 し 	 せいじゅく し
収穫 できる 	 しゅうかく できる
死ぬ 	 しぬ
来 た ような 	 き た ような
冒険 する 	 ぼうけん する
ヒット し ませ ん でした 	 ひっと し ませ ん でした
凍結 し 始め 	 とうけつ し はじめ
凍結 する 	 とうけつ する
滞っ て 	 とどこおっ て
絶え ない 	 たえ ない
食事 し て 	 しょくじ し て
き た 	 き た
分類 し まし た 	 ぶんるい し まし た
駆け抜けろ 	 かけぬけろ
開催 さ れる 	 かいさい さ れる
招待 する 	 しょうたい する
苦しん 	 くるしん
併合 し 	 へいごう し
削減 し 	 さくげん し
付さ れ て 	 つきさ れ て
知り たがっ た 	 しり たがっ た
用い られる ように なっ た 	 もちい られる ように なっ た
消耗 し て 	 しょうもう し て
呼ば れる ように 	 よば れる ように
歓迎 し て 	 かんげい し て
称讃 し 	 しょうさん し
奪還 し て 	 だっかん し て
達成 する であろ う 	 たっせい する であろ う
進言 し て 	 しんげん し て
移籍 し て 	 いせき し て
守り 続け 	 まもり つづけ
出陣 する 	 しゅつじん する
わかり やすく 	 わかり やすく
たっ て 	 たっ て
集積 し た 	 しゅうせき し た
上昇 し た 	 じょうしょう し た
縛ら れ て 	 しばら れ て
傍聴 し た 	 ぼうちょう し た
復帰 し 	 ふっき し
好走 	 こうそう
披露 さ れる 	 ひろう さ れる
脱会 し 	 だっかい し
引き連れ て 	 ひきつれ て
設立 し まし た 	 せつりつ し まし た
使い ます 	 つかい ます
挑戦 し 	 ちょうせん し
獲得 し た 	 かくとく し た
主導 し て 	 しゅどう し て
製造 し た 	 せいぞう し た
牽引 する 	 けんいん する
留まっ て 	 とまっ て
合併 し た 	 がっぺい し た
調印 	 ちょういん
引き抜か れ 	 ひきぬか れ
届け出 た 	 とどけで た
封じ込め たい 	 ふうじこめ たい
振り まし た 	 ふり まし た
活動 し て 	 かつどう し て
入植 し た 	 にゅうしょく し た
紹介 し た 	 しょうかい し た
さ せ ます 	 さ せ ます
立候補 し て 	 りっこうほ し て
圧倒 する 	 あっとう する
通行 	 つうこう
分岐 し て 	 ぶんき し て
しら ない 	 しら ない
似 た 	 に た
広まり 	 ひろまり
定着 する 	 ていちゃく する
抱か ない ように 	 いだか ない ように
増え たら 	 ふえ たら
新設 する 	 しんせつ する
製造 し 	 せいぞう し
長ける 	 たける
切れ た 	 きれ た
さ れ ない 	 さ れ ない
運用 さ れ て 	 うんよう さ れ て
いたっ て 	 いたっ て
検証 し 	 けんしょう し
解任 さ れる 	 かいにん さ れる
沸く 	 わく
分類 し て 	 ぶんるい し て
いえる 	 いえる
下がる 	 さがる
高め 	 たかめ
住む 	 すむ
成す 	 なす
待機 さ せ て 	 たいき さ せ て
クリア する 	 くりあ する
去っ た 	 さっ た
占領 し 	 せんりょう し
転がす 	 ころがす
切れ そうで 	 きれ そうで
切れ ない 	 きれ ない
チェック し 	 ちぇっく し
制限 する 	 せいげん する
断た せ 	 ことわた せ
孤立 さ せ よう 	 こりつ さ せ よう
浮気 し 難い 	 うわき し がたい
頼ま れ た 	 たのま れ た
遭遇 し て 	 そうぐう し て
停車 し ない 	 ていしゃ し ない
当選 し 	 とうせん し
切り替え て 	 きりかえ て
実行 できる 	 じっこう できる
実行 さ れ て 	 じっこう さ れ て
敢行 し た 	 かんこう し た
評価 さ れ た 	 ひょうか さ れ た
差し向け た 	 さしむけ た
成敗 さ れる 	 せいばい さ れる
加味 さ れ た ようだ 	 かみ さ れ た ようだ
もたれ て 	 もたれ て
集まり やすい です 	 あつまり やすい です
出発 	 しゅっぱつ
鈍ら せ て 	 にぶら せ て
鈍ら せ た 	 にぶら せ た
復活 さ せる 	 ふっかつ さ せる
聴こえ て 	 きこえ て
生じ ない ように 	 しょうじ ない ように
途切れ て 	 とぎれ て
選曲 さ れ た 	 せんきょく さ れ た
発売 さ れ て 	 はつばい さ れ て
行う ように なり 	 おこなう ように なり
発展 する 	 はってん する
決定づける 	 けっていづける
決める 	 きめる
しゃぶしゃぶ する 	 しゃぶしゃぶ する
脱走 し た 	 だっそう し た
延期 する 	 えんき する
好み 	 このみ
盛り上がっ た 	 もりあがっ た
塞ぐ 	 ふさぐ
安心 でき ます 	 あんしん でき ます
提案 さ れ て 	 ていあん さ れ て
あい 	 あい
起こり まし た 	 おこり まし た
発生 	 はっせい
発電 し 	 はつでん し
蓄え て 	 たくわえ て
使う ようで ある 	 つかう ようで ある
注い 	 ちゅうい
飲む 	 のむ
評価 し て 	 ひょうか し て
出火 し て 	 しゅっか し て
尊敬 し て 	 そんけい し て
死ん だ 	 しん だ
辿り着く 	 たどりつく
駆け回る 	 かけまわる
適し た 	 てきし た
改良 さ れ た 	 かいりょう さ れ た
訴え 	 うったえ
言及 さ れ ない 	 げんきゅう さ れ ない
出店 し 	 しゅってん し
有る 	 ある
遭わ れ た 	 あわ れ た
被災 さ れ た 	 ひさい さ れ た
伺 える 	 うかが える
指定 する 	 してい する
滅亡 する 	 めつぼう する
意味 し ませ ん 	 いみ し ませ ん
奪う 	 うばう
ご覧いただ け ます 	 ごらん いただけ ます
行き たく なく なる 	 いき たく なく なる
練り込ま れる 	 ねりこま れる
喧嘩 せ ず 	 けんか せ ず
好む 	 このむ
頼み ませ ん 	 たのみ ませ ん
紹介 さ れ て 	 しょうかい さ れ て
通い だし た 	 かよい だし た
張っ て 	 はっ て
押し 	 おし
繰り出す 	 くりだす
変化 する 	 へんか する
運ん だ 	 はこん だ
通す 	 とおす
